ExperimentName,Site,NDARGUID,Version,Overall_RT,Overall_ACC,HappyBlocks_RT,HappyBlocks_ACC,FearBlocks_RT,FearBlocks_ACC,NeutBlocks_RT,NeutBlocks_ACC,PlaceBlocks_RT,PlaceBlocks_ACC,Overall0back_RT,Overall0back_ACC,Happy0back_RT,Happy0back_ACC,Fear0back_RT,Fear0back_ACC,Neut0back_RT,Neut0back_ACC,Place0back_RT,Place0back_ACC,Overall2back_RT,Overall2back_ACC,Happy2back_RT,Happy2back_ACC,Fear2back_RT,Fear2back_ACC,Neut2back_RT,Neut2back_ACC,Place2back_RT,Place2back_ACC,run1Overall_RT,run1Overall_ACC,run1HappyBlocks_RT,run1HappyBlocks_ACC,run1FearBlocks_RT,run1FearBlocks_ACC,run1NeutBlocks_RT,run1NeutBlocks_ACC,run1PlaceBlocks_RT,run1PlaceBlocks_ACC,run1Happy0back_RT,run1Happy0back_ACC,run1Fear0back_RT,run1Fear0back_ACC,run1Neut0back_RT,run1Neut0back_ACC,run1Place0back_RT,run1Place0back_ACC,run1Happy2back_RT,run1Happy2back_ACC,run1Fear2back_RT,run1Fear2back_ACC,run1Neut2back_RT,run1Neut2back_ACC,run1Place2back_RT,run1Place2back_ACC,run2Overall_RT,run2Overall_ACC,run2HappyBlocks_RT,run2HappyBlocks_ACC,run2FearBlocks_RT,run2FearBlocks_ACC,run2NeutBlocks_RT,run2NeutBlocks_ACC,run2PlaceBlocks_RT,run2PlaceBlocks_ACC,run2Happy0back_RT,run2Happy0back_ACC,run2Fear0back_RT,run2Fear0back_ACC,run2Neut0back_RT,run2Neut0back_ACC,run2Place0back_RT,run2Place0back_ACC,run2Happy2back_RT,run2Happy2back_ACC,run2Fear2back_RT,run2Fear2back_ACC,run2Neut2back_RT,run2Neut2back_ACC,run2Place2back_RT,run2Place2back_ACC,Nonlure_ACC,Lure_ACC,Target_ACC,HappyTargetHR,HappyLureFA,HappyNonlureFA,FearTargetHR,FearLureFA,FearNonlureFA,NeutTargetHR,NeutLureFA,NeutNonlureFA,PlaceTargetHR,PlaceLureFA,PlaceNonlureFA
Emo_Nback_20160913,CHLA,KGX16MTR,1,975,0.856,922.355,0.775,938.111,0.9,924.086,0.875,1110.486,0.875,886.149,0.925,871.75,1,830.737,0.95,826.111,0.9,1028.588,0.85,1079.365,0.787,1014.364,0.55,1058.118,0.85,1027.824,0.85,1187.833,0.9,993,0.762,892.167,0.6,947.222,0.9,931,0.75,1178.25,0.8,869,1,841.7,1,856.75,0.8,1209.286,0.7,1008,0.2,1079.125,0.8,1015.857,0.7,1154.111,0.9,960.553,0.95,941.421,0.95,929,0.9,918.9,1,1053.421,0.95,874.5,1,818.556,0.9,801.6,1,902.1,1,1015.778,0.9,1039.444,0.9,1036.2,1,1221.556,0.9,0.935,0.906,0.781,0.625,0.8,0.818,0.875,0.7,1,1,0.8,0.864,0.625,0.9,0.955
Emo_Nback_20160913,CHLA,THZ2FDT4,3,763.503,0.969,686.641,0.975,690.974,0.95,731.375,1,948.737,0.95,748.731,0.975,613.35,1,734.833,0.9,682.6,1,962.75,1,778.468,0.963,763.789,0.95,651.5,1,780.15,1,933.167,0.9,811.039,0.95,724.7,1,775.389,0.9,737.8,1,1024,0.9,565.6,1,834.375,0.8,640.5,1,1080.4,1,883.8,1,728.2,1,835.1,1,953.5,0.8,717.772,0.988,646.579,0.95,615,1,724.95,1,881,1,661.1,1,655.2,1,724.7,1,845.1,1,630.444,0.9,574.8,1,725.2,1,916.9,1,1,0.938,0.938,0.875,1,1,1,0.8,1,1,1,1,0.875,0.9,1
Emo_Nback_20160913,CUB,1K3LDK3L,1,1191.202,0.744,1315.71,0.775,1114.607,0.7,996.312,0.8,1352.679,0.7,1209.317,0.75,1349.375,0.8,1134,0.65,967.412,0.85,1412.929,0.7,1172.78,0.738,1279.8,0.75,1097.8,0.75,1029.067,0.75,1292.429,0.7,1220.242,0.775,1306.688,0.8,1254.929,0.7,1018.25,0.8,1305.438,0.8,1161.111,0.9,1379.333,0.6,904.6,1,1321.125,0.8,1493.857,0.7,1161.625,0.8,1207.667,0.6,1289.75,0.8,1159.614,0.713,1325.333,0.75,974.286,0.7,974.375,0.8,1415.667,0.6,1591.429,0.7,923.714,0.7,1057.143,0.7,1535.333,0.6,1092.5,0.8,1024.857,0.7,910,0.9,1296,0.6,0.739,0.75,0.562,0.5,0.8,0.864,0.625,0.6,0.773,0.625,1,0.773,0.5,0.8,0.727
Emo_Nback_20160913,CUB,36E4JVZ2,3,894.944,0.787,833.767,0.75,893.333,0.75,840.452,0.775,997.029,0.875,904.197,0.95,878.316,0.95,869.263,0.95,867.5,0.9,995,1,880.88,0.625,756.818,0.55,934.909,0.55,803,0.65,999.733,0.75,893.841,0.787,845.062,0.8,946.714,0.7,856.933,0.75,926.833,0.9,875.5,1,897.556,0.9,869.222,0.9,812,1,794.333,0.6,1035.2,0.5,838.5,0.6,1070.375,0.8,896.048,0.787,820.857,0.7,846.625,0.8,825,0.8,1071.353,0.85,881.444,0.9,843.8,1,865.778,0.9,1178,1,711.8,0.5,851.333,0.6,772.571,0.7,919,0.7,0.913,0.906,0.438,0.375,0.8,0.864,0.5,0.8,0.818,0.25,0.9,0.909,0.625,1,0.909
Emo_Nback_20160913,CUB,36E4JVZ2,3,894.944,0.787,833.767,0.75,893.333,0.75,840.452,0.775,997.029,0.875,904.197,0.95,878.316,0.95,869.263,0.95,867.5,0.9,995,1,880.88,0.625,756.818,0.55,934.909,0.55,803,0.65,999.733,0.75,893.841,0.787,845.062,0.8,946.714,0.7,856.933,0.75,926.833,0.9,875.5,1,897.556,0.9,869.222,0.9,812,1,794.333,0.6,1035.2,0.5,838.5,0.6,1070.375,0.8,896.048,0.787,820.857,0.7,846.625,0.8,825,0.8,1071.353,0.85,881.444,0.9,843.8,1,865.778,0.9,1178,1,711.8,0.5,851.333,0.6,772.571,0.7,919,0.7,0.913,0.781,0.438,0.375,0.8,0.864,0.5,0.8,0.818,0.25,0.9,0.909,0.625,1,0.909
Emo_Nback_20160913,CUB,3GFD7GXB,4,1064.463,0.769,1163.906,0.8,920.485,0.825,1051.788,0.825,1143.96,0.625,970.619,0.787,1029.375,0.8,789.211,0.95,1021.158,0.95,1142.444,0.45,1163,0.75,1298.438,0.8,1098.643,0.7,1093.357,0.7,1144.812,0.8,1061.23,0.762,1263.846,0.65,839.941,0.85,1046,0.9,1169.077,0.65,1173,0.6,749.4,1,1023.5,1,1212.167,0.6,1341.714,0.7,969.286,0.7,1074.125,0.8,1132.143,0.7,1067.645,0.775,1095.526,0.95,1006.062,0.8,1058.733,0.75,1116.75,0.6,943.2,1,833.444,0.9,1018.556,0.9,1003,0.3,1264.778,0.9,1228,0.7,1119,0.6,1154.667,0.9,0.913,0.75,0.719,0.75,0.8,0.818,0.625,0.7,0.955,0.875,0.6,0.909,0.625,0.4,0.727
Emo_Nback_20160913,CUB,84NCVEYA,4,1133.275,0.75,1052.483,0.725,1142.129,0.775,1120.207,0.725,1212.226,0.775,1042.097,0.775,962.75,0.8,1026.5,0.8,1081.6,0.75,1103.867,0.75,1230.741,0.725,1162.923,0.65,1265.467,0.75,1161.571,0.7,1313.812,0.8,1194.186,0.738,1103.143,0.7,1169.688,0.8,1258.75,0.8,1242.923,0.65,1051.75,0.8,1128.75,0.8,1335.167,0.6,1094.333,0.6,1171.667,0.6,1210.625,0.8,1212.9,1,1370.286,0.7,1074.361,0.762,1005.2,0.75,1112.733,0.75,949.692,0.65,1190.056,0.9,873.75,0.8,924.25,0.8,912.556,0.9,1110.222,0.9,1155.429,0.7,1328.143,0.7,1033.25,0.4,1269.889,0.9,0.826,0.688,0.625,0.75,0.7,0.727,0.5,0.7,0.909,0.625,0.6,0.818,0.625,0.7,0.864
Emo_Nback_20160913,CUB,97YY6Y1R,4,1027.53,0.838,1124.971,0.85,950.03,0.825,972.314,0.875,1064.312,0.8,923.246,0.863,997.471,0.85,891.882,0.85,847.667,0.9,960.412,0.85,1138.231,0.812,1252.471,0.85,1011.812,0.8,1104.294,0.85,1182.067,0.75,1006.887,0.887,1050.053,0.95,909.353,0.85,958.333,0.9,1107.588,0.85,942.5,1,832.556,0.9,857.222,0.9,984,1,1169.556,0.9,995.75,0.8,1059.444,0.9,1284.143,0.7,1050.794,0.787,1219.867,0.75,993.25,0.8,987.118,0.85,1015.267,0.75,1076,0.7,958.625,0.8,838.111,0.9,926.714,0.7,1345.75,0.8,1027.875,0.8,1154.75,0.8,1092.75,0.8,0.935,0.844,0.656,0.75,0.8,0.909,0.625,0.8,0.909,0.625,0.9,0.955,0.625,0.8,0.864
Emo_Nback_20160913,CUB,CLA2CZ2U,4,1105.066,0.756,1114,0.775,1060.571,0.875,1071.531,0.8,1207.391,0.575,1030.377,0.762,1019.294,0.85,957.158,0.95,991.688,0.8,1274.667,0.45,1181,0.75,1229,0.7,1183.375,0.8,1151.375,0.8,1164.143,0.7,1129.889,0.787,1177,0.8,1035.167,0.9,1057.235,0.85,1312.083,0.6,1203.429,0.7,919.2,1,903.889,0.9,1444.8,0.5,1156.444,0.9,1180.125,0.8,1229.75,0.8,1217.286,0.7,1078.103,0.725,1046.8,0.75,1087.471,0.85,1087.733,0.75,1093.182,0.55,890.4,1,999.333,0.9,1104.571,0.7,1062,0.4,1359.6,0.5,1186.625,0.8,1073,0.8,1111,0.7,0.913,0.5,0.812,0.75,0.6,0.864,1,0.5,1,0.875,0.4,0.955,0.625,0.1,0.773
Emo_Nback_20160913,CUB,DA6VVDEG,1,1177.364,0.806,1090.742,0.775,1141.5,0.95,1151.71,0.775,1344.379,0.725,1099.155,0.887,1020.333,0.9,1077.65,1,1124.222,0.9,1192.333,0.75,1273.103,0.725,1188.231,0.65,1212.444,0.9,1189.769,0.65,1507.286,0.7,1165.877,0.812,1055.688,0.8,1181.45,1,1028.333,0.75,1416.929,0.7,962.333,0.9,1094,1,1029.6,1,1337.625,0.8,1175.714,0.7,1268.9,1,1025.8,0.5,1522.667,0.6,1189.031,0.8,1128.133,0.75,1097.111,0.9,1267.375,0.8,1276.667,0.75,1078.333,0.9,1061.3,1,1242.5,0.8,1026.286,0.7,1202.833,0.6,1141.875,0.8,1292.25,0.8,1495.75,0.8,0.891,0.844,0.562,0.375,0.8,0.909,1,0.9,0.955,0.5,0.8,0.864,0.375,0.7,0.864
