ExperimentName,Site,NDARGUID,Version,Overall_RT,Overall_ACC,HappyBlocks_RT,HappyBlocks_ACC,FearBlocks_RT,FearBlocks_ACC,NeutBlocks_RT,NeutBlocks_ACC,PlaceBlocks_RT,PlaceBlocks_ACC,Overall0back_RT,Overall0back_ACC,Happy0back_RT,Happy0back_ACC,Fear0back_RT,Fear0back_ACC,Neut0back_RT,Neut0back_ACC,Place0back_RT,Place0back_ACC,Overall2back_RT,Overall2back_ACC,Happy2back_RT,Happy2back_ACC,Fear2back_RT,Fear2back_ACC,Neut2back_RT,Neut2back_ACC,Place2back_RT,Place2back_ACC,run1Overall_RT,run1Overall_ACC,run1HappyBlocks_RT,run1HappyBlocks_ACC,run1FearBlocks_RT,run1FearBlocks_ACC,run1NeutBlocks_RT,run1NeutBlocks_ACC,run1PlaceBlocks_RT,run1PlaceBlocks_ACC,run1Happy0back_RT,run1Happy0back_ACC,run1Fear0back_RT,run1Fear0back_ACC,run1Neut0back_RT,run1Neut0back_ACC,run1Place0back_RT,run1Place0back_ACC,run1Happy2back_RT,run1Happy2back_ACC,run1Fear2back_RT,run1Fear2back_ACC,run1Neut2back_RT,run1Neut2back_ACC,run1Place2back_RT,run1Place2back_ACC,run2Overall_RT,run2Overall_ACC,run2HappyBlocks_RT,run2HappyBlocks_ACC,run2FearBlocks_RT,run2FearBlocks_ACC,run2NeutBlocks_RT,run2NeutBlocks_ACC,run2PlaceBlocks_RT,run2PlaceBlocks_ACC,run2Happy0back_RT,run2Happy0back_ACC,run2Fear0back_RT,run2Fear0back_ACC,run2Neut0back_RT,run2Neut0back_ACC,run2Place0back_RT,run2Place0back_ACC,run2Happy2back_RT,run2Happy2back_ACC,run2Fear2back_RT,run2Fear2back_ACC,run2Neut2back_RT,run2Neut2back_ACC,run2Place2back_RT,run2Place2back_ACC,Nonlure_ACC,Lure_ACC,Target_ACC,HappyTargetHR,HappyLureFA,HappyNonlureFA,FearTargetHR,FearLureFA,FearNonlureFA,NeutTargetHR,NeutLureFA,NeutNonlureFA,PlaceTargetHR,PlaceLureFA,PlaceNonlureFA,
Emo_Nback_Goggles_20160913,CHLA,2HYAENE6,4.000,989.255,0.881,846.303,0.825,1063.543,0.875,1081.730,0.925,953.028,0.900,900.338,0.925,816.667,0.900,907.056,0.900,973.278,0.900,903.950,1.000,1087.463,0.838,881.867,0.750,1229.235,0.850,1184.474,0.950,1014.375,0.800,964.286,0.875,905.400,0.750,1004.000,0.900,1023.400,1.000,904.647,0.850,827.625,0.800,792.100,1.000,912.300,1.000,824.200,1.000,994.286,0.700,1268.875,0.800,1134.500,1.000,1019.571,0.700,1013.873,0.887,797.056,0.900,1126.588,0.850,1150.353,0.850,996.316,0.950,807.900,1.000,1050.750,0.800,1049.500,0.800,983.700,1.000,783.500,0.800,1194.000,0.900,1240.000,0.900,1010.333,0.900,0.978,0.906,0.750,0.625,0.900,0.864,0.750,0.800,0.955,0.750,1.000,0.955,0.875,0.900,0.909,
Emo_Nback_Goggles_20160913,CHLA,49YTZ5Z4,2.000,879.463,0.850,884.000,0.875,814.618,0.850,853.000,0.900,976.194,0.775,783.554,0.925,866.556,0.900,725.650,1.000,692.650,1.000,876.188,0.800,993.935,0.775,902.471,0.850,941.714,0.700,1053.438,0.800,1082.867,0.750,857.623,0.863,883.625,0.800,744.688,0.800,903.167,0.900,887.684,0.950,1000.500,0.800,639.600,1.000,731.400,1.000,809.000,1.000,766.750,0.800,919.833,0.600,1117.875,0.800,975.111,0.900,901.955,0.838,884.316,0.950,876.778,0.900,802.833,0.900,1116.333,0.600,759.400,1.000,811.700,1.000,653.900,1.000,988.167,0.600,1023.111,0.900,958.125,0.800,989.000,0.800,1244.500,0.600,0.935,0.875,0.844,0.750,0.700,1.000,0.875,0.700,0.909,1.000,0.700,0.955,0.750,0.700,0.818,
Emo_Nback_Goggles_20160913,CHLA,4BAP6ERL,2.000,1077.364,0.825,995.000,0.800,1073.333,0.750,1062.472,0.900,1174.206,0.850,1040.616,0.912,1019.667,0.900,1084.412,0.850,936.833,0.900,1115.650,1.000,1122.831,0.738,963.286,0.700,1058.846,0.650,1188.111,0.900,1257.857,0.700,1071.631,0.812,907.467,0.750,1121.200,0.750,1071.833,0.900,1172.529,0.850,860.889,0.900,1181.143,0.700,987.125,0.800,1182.300,1.000,977.333,0.600,1068.750,0.800,1139.600,1.000,1158.571,0.700,1082.925,0.838,1072.235,0.850,1025.467,0.750,1053.111,0.900,1175.882,0.850,1178.444,0.900,1016.700,1.000,896.600,1.000,1049.000,1.000,952.750,0.800,1043.000,0.500,1248.750,0.800,1357.143,0.700,0.891,0.844,0.688,0.750,0.700,0.864,0.375,0.700,0.909,0.875,0.700,1.000,0.750,0.900,0.864,
Emo_Nback_Goggles_20160913,CHLA,56L41G67,4.000,725.879,0.931,734.912,0.850,685.025,1.000,678.359,0.975,814.222,0.900,662.440,0.938,679.000,0.800,592.300,1.000,635.053,0.950,745.350,1.000,790.176,0.925,784.611,0.900,777.750,1.000,719.500,1.000,900.312,0.800,744.808,0.912,821.765,0.850,638.850,1.000,688.500,1.000,865.875,0.800,729.625,0.800,559.600,1.000,597.400,1.000,828.300,1.000,903.667,0.900,718.100,1.000,779.600,1.000,928.500,0.600,707.697,0.950,648.059,0.850,731.200,1.000,667.684,0.950,772.900,1.000,628.375,0.800,625.000,1.000,676.889,0.900,662.400,1.000,665.556,0.900,837.400,1.000,659.400,1.000,883.400,1.000,0.957,0.969,0.906,0.750,0.900,0.864,1.000,1.000,1.000,1.000,1.000,0.955,0.875,0.900,0.909,
Emo_Nback_Goggles_20160913,CHLA,68TA7J93,4.000,905.791,0.838,876.441,0.850,917.290,0.775,901.057,0.875,929.529,0.850,849.280,0.938,870.200,1.000,861.944,0.900,814.842,0.950,849.722,0.900,977.627,0.738,885.357,0.700,993.923,0.650,1003.438,0.800,1019.312,0.800,930.500,0.825,860.467,0.750,971.062,0.800,849.947,0.950,1051.250,0.800,868.200,1.000,935.667,0.900,783.400,1.000,1032.125,0.800,845.000,0.500,1016.571,0.700,923.889,0.900,1070.375,0.800,881.809,0.850,889.053,0.950,859.933,0.750,961.750,0.800,821.333,0.900,872.200,1.000,788.222,0.900,849.778,0.900,703.800,1.000,907.778,0.900,967.500,0.600,1105.714,0.700,968.250,0.800,0.978,0.688,0.750,0.750,0.900,0.864,0.625,0.500,0.955,0.750,0.700,1.000,0.875,0.600,0.955,
Emo_Nback_Behavioral_20161208,CHLA,81W1WMVM,59250821.000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,,,, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
Emo_Nback_Behavioral_20161208,CHLA,BKW33JVR,710007178.000, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,,,, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,
Emo_Nback_Goggles_20160913,CHLA,D0TZD25R,3.000,918.669,0.869,858.385,0.975,963.125,0.800,945.471,0.850,919.176,0.850,818.480,0.938,747.700,1.000,846.125,0.800,877.474,0.950,811.100,1.000,1036.078,0.800,974.895,0.950,1080.125,0.800,1031.600,0.750,1073.571,0.700,927.500,0.850,787.000,1.000,993.133,0.750,970.467,0.750,993.111,0.900,713.200,1.000,874.000,0.700,912.556,0.900,897.400,1.000,860.800,1.000,1097.375,0.800,1057.333,0.600,1112.750,0.800,910.211,0.887,933.526,0.950,936.647,0.850,925.737,0.950,836.000,0.800,782.200,1.000,824.444,0.900,845.900,1.000,724.800,1.000,1101.667,0.900,1062.875,0.800,1014.444,0.900,1021.333,0.600,0.957,0.844,0.781,0.875,1.000,1.000,0.500,0.800,0.909,0.875,0.700,0.909,0.875,0.600,0.955,
Emo_Nback_Goggles_20160913,CHLA,DT85NUFE,1.000,775.652,0.881,667.622,0.925,750.657,0.875,808.618,0.850,882.829,0.875,714.000,0.938,664.722,0.900,705.000,0.950,745.053,0.950,738.632,0.950,845.712,0.825,670.368,0.950,804.875,0.800,889.133,0.750,1054.062,0.800,769.742,0.825,642.882,0.850,686.812,0.800,838.000,0.800,910.412,0.850,753.375,0.800,578.800,1.000,779.100,1.000,679.778,0.900,544.667,0.900,866.833,0.600,936.167,0.600,1169.875,0.800,780.853,0.938,688.650,1.000,804.421,0.950,782.500,0.900,856.778,0.900,593.800,1.000,845.222,0.900,707.222,0.900,791.600,1.000,783.500,1.000,767.700,1.000,857.778,0.900,938.250,0.800,0.957,0.906,0.656,0.750,1.000,0.955,0.625,1.000,0.909,0.500,0.900,0.955,0.750,0.800,0.955,
Emo_Nback_Goggles_20160913,CHLA,E2MXC5UG,2.000,1045.561,0.869,1027.306,0.900,1057.943,0.875,1011.868,0.950,1095.700,0.750,940.159,0.863,904.474,0.950,998.833,0.900,882.650,1.000,1004.500,0.600,1149.457,0.875,1164.588,0.850,1120.529,0.850,1155.444,0.900,1156.500,0.900,1075.015,0.825,960.125,0.800,1092.625,0.800,1102.944,0.900,1140.875,0.800,859.778,0.900,1047.000,0.800,975.100,1.000,1172.286,0.700,1089.143,0.700,1138.250,0.800,1262.750,0.800,1116.444,0.900,1018.932,0.912,1081.050,1.000,1028.737,0.950,929.900,1.000,1044.071,0.700,944.700,1.000,960.300,1.000,790.200,1.000,769.600,0.500,1217.400,1.000,1104.778,0.900,1069.600,1.000,1196.556,0.900,0.978,0.875,0.688,0.750,1.000,0.909,0.875,0.600,1.000,0.875,0.900,1.000,0.250,0.900,0.864,
